freq,X_1600us_unloaded_loosemotor_5,Y_1600us_unloaded_loosemotor_5,Z_1600us_unloaded_loosemotor_5
387.7,0.00052688,0.00030221,0.00033904
388.67,0.0002448,0.00034606,0.00035171
389.65,0.00049445,0.00085155,0.00071698
390.63,0.00048392,0.00067298,0.00038098
391.6,0.0011306,0.0012032,0.00041847
392.58,0.0023912,0.0016724,0.0009927
393.55,0.00021646,0.00068439,0.0004444
394.53,0.00021542,4.0254e-05,0.00041659
395.51,0.00013276,0.00028723,0.00047577
396.48,5.1052e-05,0.00068924,0.00034318
397.46,0.0001317,0.00027147,0.00032084
398.44,0.00030156,0.00022486,0.00059153
399.41,0.00024892,7.3294e-05,0.00038849
400.39,0.00021359,3.5478e-05,0.00064603
401.37,0.00019994,0.00023135,0.00059288
402.34,0.00030522,0.00027689,0.0007396
403.32,0.0005451,0.00038722,0.0013886
404.3,0.00081146,0.0010064,0.0021534
405.27,0.0027377,0.0023986,0.0035532
406.25,0.00076055,0.0012971,0.00040597
407.23,0.0005779,0.00082748,0.00049003
408.2,0.0004287,0.0022329,0.00048371
409.18,0.00024315,8.4171e-05,4.8799e-05
410.16,8.1853e-05,0.00029403,0.00029125
411.13,0.00043053,0.0005522,0.00031921
412.11,8.0026e-05,0.00039781,0.00026142
413.09,0.00014411,0.0001994,0.00025995
414.06,0.00020818,0.00018804,0.00015207
415.04,0.00076729,0.00060957,0.00011284
416.02,0.00044023,0.00023201,0.00021865
416.99,0.00077892,0.00058905,0.0005431
417.97,0.00091619,0.0015964,0.0013268
418.95,5.6353e-05,0.00054481,0.00035186
419.92,0.00037324,0.00037818,0.00045773
420.9,0.00033616,0.00042924,0.00011256
421.88,0.00021044,4.7938e-05,0.00014401
422.85,0.00017583,0.00018366,0.00019335
423.83,6.8694e-05,0.00010038,0.00021405
424.8,0.00029102,0.00028849,0.00025875
425.78,0.0002838,0.0004695,0.00024962
426.76,0.00030279,0.00029794,0.00017529
427.73,0.00057421,0.00064689,0.00029716
428.71,0.00035624,0.00086978,0.00066081
429.69,0.00049534,0.00065119,0.00030604
430.66,0.0021235,0.002533,0.00054443
431.64,0.00032735,0.00026261,0.00025296
432.62,0.0002018,0.0003051,0.00023929
433.59,0.00029709,0.00023461,0.00064047
434.57,0.00028108,0.00025211,0.00014027
435.55,0.00018871,0.00030355,0.00019975
436.52,0.00018748,0.00022318,0.00021909
437.5,5.1016e-05,0.0010196,7.7626e-05
438.48,0.00013485,0.0004182,0.00019636
439.45,0.00022146,0.000719,0.00020261
440.43,0.00024227,0.0010393,0.00055277
441.41,0.00025394,0.00050792,0.00017138
442.38,0.00057554,0.0013276,0.0010595
443.36,0.0010031,0.0019254,0.0027855
444.34,0.00011499,0.00025637,0.00059161
445.31,4.5057e-05,0.00020493,0.00034093
446.29,0.00025621,0.00018236,0.00021028
447.27,4.9521e-05,0.00040167,0.00021503
448.24,0.00010216,0.00066392,0.00011334
449.22,0.00011335,0.00012074,0.00025796
450.2,0.00017194,0.00028658,0.00035411
451.17,0.00011678,0.00021926,0.00018885
452.15,6.0871e-05,0.0001161,0.00027729
453.13,0.00018486,0.00022106,0.0005651
454.1,0.00026574,0.00030713,0.00068171
455.08,0.00024463,0.00038646,0.0021352
456.05,0.00076137,0.0010506,0.0034708
457.03,0.00044052,0.00057567,0.0010025
458.01,0.00098993,0.00083724,0.00067538
458.98,0.00074093,0.00019746,6.4063e-05
459.96,7.5509e-05,9.6103e-05,0.00028061
460.94,0.00053956,9.8779e-05,0.00031861
461.91,0.0002649,0.00058919,0.00010903
462.89,0.00058012,0.00019292,0.00023937
