freq,X_800us_broken_prop_9,Y_800us_broken_prop_9,Z_800us_broken_prop_9
294.92,0.00032086,0.00081978,0.00060467
295.9,0.00071785,0.00058206,0.0015438
296.88,0.00027707,0.0019518,0.0009823
297.85,0.0011897,0.0054403,0.0064191
298.83,0.000266,0.0012778,0.0013101
299.8,0.00023668,0.001091,0.001399
300.78,0.00032018,0.0014929,0.0015957
301.76,0.00022886,0.0016574,0.0011899
302.73,0.0011632,0.0029508,0.002853
303.71,0.00098621,0.0011133,0.0010556
304.69,0.0015803,0.0069266,0.0022652
305.66,0.00087438,0.0026302,0.0028658
306.64,6.8029e-05,0.00087481,0.0011782
307.62,0.0011118,0.0033164,0.00014873
308.59,0.00037578,0.0018343,0.00063595
309.57,0.00061463,0.00253,9.8125e-05
310.55,0.00022881,0.0023496,0.001195
311.52,0.00036876,0.0013917,0.00067522
312.5,0.00033776,0.0021485,0.00036767
313.48,0.00068507,0.0019786,0.00081103
314.45,0.00039063,0.0015039,0.0016922
315.43,0.0008164,0.0027164,0.0014502
316.41,0.00078861,0.0024837,0.00079246
317.38,0.0016797,0.0060546,0.0041008
318.36,0.00046185,0.0041874,0.0009228
319.34,0.00062115,0.0023331,0.001387
320.31,5.6966e-05,0.00047369,0.00044786
321.29,0.00020308,0.00067243,0.00057999
322.27,0.00077436,0.0039074,0.00063233
323.24,0.00024011,0.00072988,0.00094526
324.22,0.00071851,0.00061182,0.00060365
325.2,0.00054181,0.0019549,0.00032098
326.17,0.0010831,0.0021162,0.0013903
327.15,0.00082368,0.001734,0.00080217
328.13,0.00042854,0.0014321,0.00061574
329.1,0.0012919,0.002282,0.0020778
330.08,0.00052952,0.0020542,0.00054727
331.05,0.00079562,0.0010552,0.0019587
332.03,0.00015639,0.0017174,0.0016216
333.01,0.0011315,0.0014026,0.00053063
333.98,0.00066988,0.0026218,0.0012239
334.96,0.0013653,0.0015962,0.00020882
335.94,0.00066318,0.00083421,0.0014464
336.91,0.00044119,0.0007668,0.0010455
337.89,0.00073387,0.002644,0.0016043
338.87,0.00056021,0.0011388,0.00045393
339.84,0.00061358,0.00058677,0.00072278
340.82,0.00037583,0.0018046,0.00076855
341.8,0.0003835,0.00064331,0.00066271
342.77,0.00065267,0.0015663,0.00069314
343.75,0.00036885,0.00035095,0.00071932
344.73,0.00046866,0.0012373,0.00030076
345.7,0.00065596,0.0022031,0.001274
346.68,0.00031035,0.0016739,0.00045845
347.66,0.0005263,0.00099018,0.00082361
348.63,0.00044142,0.0003717,0.00064347
349.61,0.00025772,0.00094593,0.00036971
350.59,0.0002051,0.0014475,0.00089312
351.56,0.00031134,0.00043788,0.00062678
352.54,0.0002628,0.0018778,0.00081375
353.52,0.00071935,0.00083939,0.00050312
354.49,0.00041348,0.0020961,0.0015104
355.47,0.00071032,0.00034071,0.00055109
356.45,9.6821e-05,0.00036745,0.00088447
357.42,0.0010682,0.0031577,0.00059253
358.4,0.00061637,0.00026761,0.00023185
359.38,0.0004856,0.00038216,0.00044791
360.35,0.00034486,0.0006119,0.0002889
361.33,0.00046767,0.0014811,0.00035795
362.3,0.0011638,0.0023103,0.0011448
363.28,8.6051e-05,0.00070266,0.00035148
364.26,0.00037685,0.0011733,5.175e-05
365.23,0.0008146,0.0013265,0.00094703
366.21,0.00016617,0.00044426,0.00055995
367.19,0.00037269,0.0010995,0.00037606
368.16,0.00016694,0.0015535,0.00015137
369.14,0.00063525,0.0017507,0.0011386
370.12,0.0001422,0.00054833,0.00053215
371.09,0.00010244,0.00049892,0.00059687
372.07,3.6754e-05,0.00076552,0.00040868
373.05,0.00031931,0.00033274,0.00016583
374.02,0.00039909,0.0013629,0.00052637
375,0.00025624,0.0012646,0.00042531
375.98,0.00017856,0.00056567,0.0011783
376.95,7.0587e-05,0.0007202,0.00051967
377.93,0.00030678,0.00031079,0.00030966
378.91,0.00078338,0.00092298,0.0010158
379.88,0.00047822,0.00048182,0.00077161
380.86,0.00039199,0.00032158,0.00063328
381.84,0.00015468,0.00048286,0.00062163
382.81,0.00039482,0.00067718,0.00069043
383.79,0.00016182,0.00042363,0.00047871
384.77,0.00029053,0.00099222,2.9759e-05
385.74,0.00019954,0.00070618,0.00069836
386.72,0.00018954,0.00080702,0.00064022
387.7,0.00041595,0.00076648,0.00043954
388.67,0.00031001,0.00091949,0.00084507
389.65,0.0002717,0.00077413,0.0007634
390.63,0.00024415,0.00075996,0.00035129
391.6,0.00034337,0.00080876,0.00067035
392.58,0.00025233,0.0013184,0.00037366
393.55,0.00028809,7.0417e-05,0.00079035
394.53,0.00022948,0.00052106,0.00032435
395.51,0.00032167,0.0011289,0.00057096
396.48,0.00032014,0.00055463,9.5524e-05
397.46,0.00046141,0.00099106,0.00050951
398.44,3.4625e-05,0.0011562,0.00047751
399.41,0.00022196,0.00065122,0.00073796
400.39,0.00028657,0.00029127,0.00072517
401.37,0.00016456,0.00073201,0.00017796
402.34,0.00013193,0.00055976,0.00047386
403.32,0.00024463,0.0011615,0.00064941
404.3,0.00025717,0.00040055,0.00022957
405.27,0.00037691,0.00039165,0.00050356
406.25,9.0036e-05,0.00091799,0.00055741
407.23,0.00013772,0.0010675,6.6863e-05
408.2,0.00023192,0.00021838,0.00034892
409.18,0.00017997,0.00054938,0.00010834
410.16,0.00016299,0.00031348,0.00071076
411.13,5.6523e-05,0.00099378,0.00049176
412.11,0.00018731,0.0004155,0.00028385
413.09,7.8192e-05,0.00044491,0.00087233
414.06,0.00029399,0.000165,0.00043691
415.04,4.4839e-05,0.00053178,0.00023376
416.02,0.00010312,0.00033485,0.00054139
416.99,0.00024738,0.00036966,0.00089972
417.97,0.00018522,0.00052185,0.0003769
418.95,0.00024303,0.00054509,0.00057568
419.92,0.0002365,8.7853e-05,0.0010518
420.9,9.7538e-05,0.00099602,0.00070135
421.88,0.00017365,0.00053046,0.00063809
422.85,0.00023439,0.00031653,0.00072705
423.83,0.00024611,0.0004038,0.00038425
424.8,0.00013043,0.00033547,0.0005783
425.78,0.0002096,0.00045323,0.00031406
426.76,9.8492e-05,0.00059676,0.00061401
427.73,0.00012736,0.00014151,0.00070556
428.71,0.00018496,0.0004896,0.001233
429.69,0.00016052,0.0012031,0.00072686
430.66,0.00029594,0.00060163,0.00026168
431.64,2.1332e-05,0.0003465,0.00048419
432.62,0.000227,0.00075214,0.00024027
433.59,0.00010507,0.00054494,0.00067386
434.57,0.00013024,0.00052426,0.00026178
435.55,0.00016935,0.00070112,0.00038626
436.52,8.3295e-05,0.00036131,0.00079718
437.5,0.00011979,0.001052,0.00045538
438.48,7.4307e-05,0.00010239,0.00033394
439.45,0.00018321,0.00068395,0.00048661
440.43,0.00010279,0.0006103,0.00041287
441.41,0.00018377,0.0010559,0.00074558
442.38,0.00029637,0.00050152,0.00027523
443.36,0.00039928,0.0031466,0.0019567
444.34,0.00062132,0.0029591,0.002128
445.31,0.00013602,0.001617,0.00086796
446.29,0.00026447,0.0024897,0.00074867
447.27,0.00022285,0.00096664,0.00050765
448.24,5.6116e-05,0.00122,0.00055854
449.22,3.3546e-05,0.00053963,0.00064735
450.2,6.1925e-05,0.00039733,0.00022045
451.17,0.00017962,0.00026499,0.00042619
452.15,0.00037595,0.00017324,0.0012277
453.13,0.0001998,0.0002788,0.00081321
454.1,8.8042e-05,0.0005769,0.00072356
455.08,0.00017897,0.00082432,0.00079166
456.05,0.00018498,0.00079571,0.00062959
457.03,0.00015483,0.00097911,0.00024723
458.01,8.8646e-05,0.00041065,0.00055472
458.98,5.3737e-05,0.00051127,7.0408e-05
459.96,0.00011951,0.0008304,0.0002061
460.94,0.00013216,0.00031482,0.00038416
461.91,0.0002893,0.00039644,0.00017421
462.89,0.00037541,0.0005136,0.00021988
463.87,0.00031007,0.00035109,0.00041837
464.84,0.00014661,0.00060007,0.0006729
465.82,0.00018111,8.6619e-05,0.0004104
466.8,4.3869e-05,0.00088305,0.00044455
467.77,7.9146e-05,0.0010732,0.00048407
468.75,0.00014466,0.00062591,0.00084042
469.73,7.6645e-05,0.00050255,0.00038723
470.7,0.00018572,0.00031233,0.00058606
471.68,0.0001386,0.0011273,0.00061636
472.66,0.00011617,0.000384,0.0004835
473.63,0.00025333,0.00048858,0.00077553
474.61,0.00022535,0.00070392,0.00093941
475.59,4.4029e-05,0.00082339,0.0008182
476.56,0.00013666,0.0010829,0.00081463
477.54,0.00022001,0.00084566,0.00050645
478.52,0.00024389,0.001256,0.00019447
479.49,7.347e-05,0.00076822,0.00057102
480.47,0.0002054,0.0014046,0.00071602
481.45,0.00011562,0.0011388,0.00073698
482.42,0.00010544,0.00093945,0.0002842
483.4,0.00014168,0.00014853,0.00054937
484.38,8.7833e-05,0.00058045,0.00087905
485.35,5.3223e-05,0.00083207,0.00046409
486.33,0.00030291,0.00069384,0.00070156
487.3,0.00015843,0.0011324,0.00026725
488.28,0.00021855,0.0013208,0.00031089
489.26,0.00034825,0.00066489,0.00015905
490.23,0.0001121,0.0011325,0.00054246
491.21,0.00019489,0.00093201,0.0011755
492.19,0.00011103,0.00071957,0.00021378
493.16,0.00026793,0.00074461,9.6235e-05
494.14,7.6574e-05,0.0015003,0.00021986
495.12,0.00024197,0.00073202,0.00049692
496.09,0.00011559,0.0011412,0.00046578
497.07,0.00066229,0.0015156,0.00093546
498.05,0.00050574,0.00089689,0.00017375
499.02,0.00021997,0.00024465,0.00015082
500,0.00050938,0.00089151,2.33e-05
