freq,X_900us_broken_prop_3,Y_900us_broken_prop_3,Z_900us_broken_prop_3
77.148,0.0013113,0.0020715,0.0026313
78.125,0.0079706,0.010033,0.0097214
79.102,0.0073933,0.0057059,0.00081029
80.078,0.0033435,0.003599,0.0012627
81.055,0.0069515,0.012183,0.0024548
82.031,0.0039903,0.00062671,0.0052764
83.008,0.0086884,0.0096353,0.0036422
83.984,0.0086563,0.012761,0.0031056
84.961,0.0011672,0.0091042,0.0063956
85.938,0.013794,0.006042,0.0043912
86.914,0.011865,0.0066767,0.0079006
87.891,0.020408,0.018413,0.0049476
88.867,0.0030634,0.011481,0.0083564
89.844,0.0040148,0.0069351,0.00050516
90.82,0.0031078,0.012256,0.0042662
91.797,0.0059087,0.006444,0.0035731
92.773,0.0058152,0.0028915,0.0061262
93.75,0.010727,0.0080435,0.006673
94.727,0.0078409,0.0053681,0.0011005
95.703,0.0073736,0.005276,0.00647
96.68,0.005912,0.012901,0.0029054
97.656,0.0048909,0.0037697,0.0036286
98.633,0.0087328,0.014708,0.009389
99.609,0.0029313,0.00068304,0.0048142
100.59,0.0056183,0.0077713,0.0058642
101.56,0.0031028,0.014207,0.0062481
102.54,0.010613,0.00070951,0.0031316
103.52,0.0042858,0.014919,0.011924
104.49,0.010879,0.028334,0.0093725
105.47,0.0037635,0.020918,0.0092878
106.45,0.0018943,0.012504,0.0010114
107.42,0.0028899,0.0026531,0.003295
108.4,0.0031475,0.003739,0.001921
109.38,0.0023073,0.01137,0.0049956
110.35,0.003478,0.0062939,0.0012011
111.33,0.0006252,0.0034274,0.0017388
112.3,0.001367,0.0034223,0.0017155
113.28,0.0023813,0.003081,0.0045886
114.26,0.0023799,0.0047903,0.0048297
115.23,0.0020867,0.0045362,0.001589
116.21,0.0019802,0.003527,0.0041995
117.19,0.00016976,0.0045364,0.00072265
118.16,0.0011636,0.0025381,0.0021846
119.14,0.0035762,0.0046109,0.0019616
120.12,0.0046946,0.0093009,0.0046576
121.09,0.00035805,0.0027556,0.0037713
122.07,0.0047076,0.0062235,0.0034596
123.05,0.0036779,0.014369,0.0068309
124.02,0.0020501,0.0035583,0.001951
125,0.0015488,0.0059217,0.0015033
125.98,0.0037533,0.0040661,0.00063675
126.95,0.0026327,0.0044006,0.007019
127.93,0.0025638,0.0018357,0.0032639
128.91,0.0030716,0.00074939,0.0049895
129.88,0.0019268,0.0073076,0.0029223
130.86,0.0048931,0.0017653,0.0035854
131.84,0.004795,0.0043597,0.0024444
132.81,0.0039684,0.0031928,0.0020972
133.79,0.0052136,0.0010111,0.0035048
134.77,0.0042411,0.0037492,0.0024346
135.74,0.0038235,0.0014061,0.0032027
136.72,0.005009,0.0031118,0.0024275
137.7,0.0015553,0.0038854,0.005544
138.67,0.0052969,0.012203,0.005849
139.65,0.0062455,0.003631,0.0063508
140.63,0.005041,0.0076331,0.0032444
141.6,0.004412,0.0048203,0.0017068
142.58,0.0024656,0.0044404,0.0023548
143.55,0.0033364,0.0054551,0.0023621
144.53,0.0047663,0.005038,0.0014925
145.51,0.0049412,0.0069079,0.0018136
146.48,0.0034277,0.0041646,0.0017685
147.46,0.0018944,0.0076369,0.0027433
