freq,X_800us_unloaded_4,Y_800us_unloaded_4,Z_800us_unloaded_4
255.86,2.3463e-05,1.7032e-05,4.3345e-06
256.84,1.7161e-05,1.5877e-05,5.7076e-06
257.81,2.4443e-06,3.2583e-05,1.0877e-05
258.79,1.7287e-05,2.3557e-05,2.7476e-06
259.77,2.0366e-05,1.8533e-05,5.0817e-06
260.74,1.0068e-05,2.7792e-05,1.1248e-05
261.72,1.3863e-05,3.73e-05,2.1337e-05
262.7,7.5712e-06,1.6739e-05,7.8298e-06
263.67,2.0965e-05,2.1566e-05,1.7709e-06
264.65,2.7465e-05,1.3581e-05,1.1716e-06
265.63,2.0284e-05,1.9769e-05,1.6056e-05
266.6,1.758e-05,1.8325e-05,2.2849e-06
267.58,1.2756e-05,1.7446e-05,3.3605e-06
268.55,1.0962e-05,1.9222e-05,7.0603e-06
269.53,2.5792e-05,1.9319e-05,1.7824e-05
270.51,2.8512e-05,1.6793e-05,1.6555e-06
271.48,2.1413e-05,4.468e-06,2.788e-06
272.46,2.5927e-05,1.9519e-05,4.0475e-06
273.44,1.6433e-05,3.3657e-05,1.377e-05
274.41,2.1604e-05,1.0984e-05,3.5287e-06
275.39,1.3579e-05,3.133e-05,4.1029e-06
276.37,3.4051e-06,1.5219e-05,4.8911e-07
277.34,1.681e-05,4.1484e-05,8.9139e-06
278.32,1.5589e-05,8.8423e-06,7.3105e-06
279.3,1.8812e-05,2.768e-05,7.0512e-06
280.27,2.3869e-05,3.4089e-05,5.0355e-06
281.25,1.2745e-05,3.5325e-05,1.2025e-05
282.23,1.6285e-05,3.1102e-05,4.5019e-06
283.2,1.7099e-05,1.429e-05,6.991e-06
284.18,1.2971e-05,2.3314e-05,7.2258e-06
285.16,1.2749e-05,2.6572e-05,1.6122e-05
286.13,1.6758e-05,7.7661e-06,6.5e-06
287.11,3.418e-05,1.8155e-05,6.3652e-06
288.09,1.6701e-05,2.8739e-05,4.3409e-06
289.06,1.2656e-05,3.3652e-05,8.7646e-06
290.04,2.3199e-05,9.2864e-06,3.1425e-06
291.02,2.401e-05,2.7444e-05,6.8412e-06
291.99,9.1934e-06,9.041e-06,6.9509e-06
292.97,2.7607e-05,1.2991e-05,1.3422e-05
293.95,7.4474e-06,2.4966e-05,6.1742e-06
294.92,2.3015e-05,1.4379e-05,7.3595e-06
295.9,9.4743e-06,3.2582e-05,5.3687e-06
296.88,2.6397e-05,5.5057e-05,1.543e-05
297.85,1.9744e-05,3.0253e-05,4.261e-06
298.83,2.2188e-05,1.9705e-05,2.7346e-06
299.8,3.0493e-05,2.2772e-05,7.4546e-06
300.78,1.1607e-05,2.6539e-05,1.5635e-05
301.76,1.4546e-05,3.0821e-06,3.2544e-06
302.73,1.8017e-05,1.6776e-05,2.5599e-06
303.71,8.44e-06,2.5775e-05,2.1728e-06
304.69,2.3314e-05,1.8481e-05,1.7123e-05
305.66,1.9478e-06,8.4147e-06,7.1937e-06
306.64,1.5937e-06,3.7862e-05,4.6899e-06
307.62,1.2963e-05,2.0028e-05,7.4219e-06
308.59,1.3677e-05,2.5812e-05,1.8904e-05
309.57,2.1427e-05,1.2518e-05,4.8949e-06
310.55,6.5509e-06,1.1303e-05,3.5092e-06
311.52,1.0844e-05,2.0286e-05,6.3366e-06
312.5,9.608e-05,9.0496e-05,1.9535e-05
313.48,2.551e-05,7.3294e-06,7.0923e-06
314.45,8.5329e-06,1.7777e-05,9.0489e-06
315.43,2.4666e-05,3.1584e-05,4.9793e-06
316.41,1.2733e-05,4.1409e-05,1.0777e-05
317.38,1.8638e-05,3.5527e-05,8.904e-06
318.36,8.4802e-06,2.479e-05,7.5042e-06
319.34,3.1189e-05,2.3829e-06,7.1882e-06
320.31,3.2858e-06,3.5674e-05,1.6412e-05
321.29,3.4488e-05,2.1185e-05,8.9447e-06
322.27,5.2146e-06,3.2632e-05,9.2222e-06
323.24,8.7187e-06,1.9685e-05,3.6267e-06
324.22,1.9041e-05,4.4894e-05,1.0553e-05
325.2,1.316e-05,2.8221e-05,1.0955e-06
326.17,7.3562e-06,1.3475e-05,5.9992e-06
327.15,1.8925e-05,4.6635e-05,8.0385e-06
328.13,3.1899e-05,1.8707e-05,2.1968e-05
329.1,1.5658e-05,1.2463e-05,1.012e-05
330.08,2.0855e-05,2.0226e-05,4.4084e-06
331.05,1.981e-05,1.4406e-05,5.2434e-06
332.03,1.4604e-05,5.0109e-05,1.3993e-05
333.01,5.9842e-06,2.184e-05,2.6232e-06
333.98,2.0677e-05,1.2517e-05,2.8685e-06
334.96,1.6676e-05,2.4137e-05,4.0299e-06
335.94,1.3244e-05,2.0719e-05,1.7517e-05
336.91,1.332e-05,2.0432e-05,7.3232e-06
337.89,9.8909e-06,1.6142e-05,5.335e-06
338.87,1.3019e-05,3.0451e-06,2.5895e-06
339.84,3.0125e-05,3.2181e-05,1.312e-05
340.82,1.2735e-05,2.018e-05,1.6328e-06
341.8,9.8318e-06,9.586e-06,2.1003e-06
342.77,1.9838e-05,1.0712e-05,2.7976e-06
343.75,1.6383e-05,2.9956e-05,1.3828e-05
344.73,8.4502e-06,2.3909e-05,3.6793e-06
345.7,1.9681e-05,8.8723e-06,7.0432e-06
346.68,2.3722e-05,2.4216e-05,6.2235e-06
347.66,7.0123e-06,3.0278e-05,1.2982e-05
348.63,2.324e-05,1.1985e-05,5.756e-06
349.61,2.2055e-05,9.6066e-06,7.1379e-06
350.59,1.6913e-05,3.9652e-06,8.0639e-06
351.56,1.1394e-05,3.1639e-05,9.682e-06
352.54,2.9838e-05,2.3412e-05,3.7013e-06
