freq,X_1600us_loaded_loosemotor_7,Y_1600us_loaded_loosemotor_7,Z_1600us_loaded_loosemotor_7
230.47,0.00291,0.0059382,0.0032121
231.45,0.0030243,0.0058126,0.0048877
232.42,0.0012267,0.0077478,0.0035897
233.4,0.0010816,0.0064591,0.0086663
234.38,0.0033331,0.013233,0.0083578
235.35,0.0039528,0.0041719,0.00094084
236.33,0.0013845,0.0019526,0.0054797
237.3,0.0035179,0.010234,0.0041055
238.28,0.0018119,0.0033802,0.0044044
239.26,0.0031159,0.0052616,0.0016697
240.23,0.0058698,0.0049935,0.0035509
241.21,0.0022219,0.0069324,0.00070478
242.19,0.00086274,0.0022755,0.0001431
243.16,0.0012991,0.0070001,0.0038241
244.14,0.0029796,0.00079534,0.006496
245.12,0.003727,0.0080697,0.0061847
246.09,0.00048876,0.0036385,0.0036933
247.07,0.0018732,0.005469,0.0023268
248.05,0.0014866,0.0032624,0.0031716
249.02,0.0042894,0.0029936,0.0043814
250,0.0048395,0.0051131,0.0030763
250.98,0.0056884,0.0090895,0.00052221
251.95,0.00064518,0.0018863,0.0036784
252.93,0.0035293,0.0039266,0.0049651
253.91,0.0034417,0.0023871,0.0048059
254.88,0.0038725,0.0036321,0.0033727
255.86,0.0047633,0.0048826,0.0025099
256.84,0.00040042,0.00073222,0.0027505
257.81,0.0032012,0.001541,0.0045934
258.79,0.0012239,0.0039774,0.0012261
259.77,0.00439,0.0013757,0.0034048
260.74,0.0017892,0.0047906,0.005545
261.72,0.0022844,0.0044722,0.012252
262.7,0.0025901,0.0074881,0.0041033
263.67,0.0020146,0.0054796,0.0025524
264.65,0.0013392,0.0041593,0.0029235
265.63,0.0016011,0.0041967,0.0032695
266.6,0.0043861,0.0024313,0.0050394
267.58,0.00032596,0.0053697,0.00042638
268.55,0.00088754,0.00038326,0.0011551
269.53,0.0019867,0.00078461,0.0016684
270.51,0.001088,0.0024757,0.0055371
271.48,0.0027135,0.0012891,0.0049918
272.46,0.0017597,0.0016229,0.00054758
273.44,0.0031403,0.0018515,0.00036787
274.41,0.0030608,0.0015365,0.0045562
275.39,0.001524,0.0016403,0.0029064
276.37,0.0029944,0.0025085,0.0060473
277.34,0.0013468,0.0029626,0.0022403
278.32,0.0019332,0.0016667,0.0026036
